Category,Model Classification,Model Name,Publication_Date,Tool Usage,Url,Architecture,Transformer_Type,Description,Evaluation,citation
CT,Unimodal,TAP-CT,2025-11,A suite of task-agnostic models. It provides frozen feature representations that generalized to new tasks without intensive fine-tuning.,https://arxiv.org/abs/2512.00872,3D Vision Transformer,Encoder-only,Scalable pre-training on 105k volumes using 3D adaptations of DINOv2 and depth-aware embeddings.,Low-shot transfer (AUROC); Feature test-retest; Segmentation; Retrieval.,0
CT,Unimodal,Medical SAM3,2025-07,"A universal, text-guided assistant. It performs segmentation via text prompts (e.g., ""segment tumor"") rather than requiring spatial cues like clicks.",https://ieeexplore.ieee.org/document/11105528,Adapted SAM3,Encoder-Decoder,Full-parameter fine-tuning on 33 datasets across 10 modalities to handle medical concepts without spatial prompts.,Zero-shot Dice score; Semantic-driven segmentation; External dataset generalization.,23
CT,Unimodal,VOCO,2025-12,"Uses ""geometric context"" priors to learn representations. It is used to reduce labeled data dependency for complex tasks like volume registration.",https://ieeexplore.ieee.org/document/11274411,3D SwinUNETR,Encoder-only,"Implicitly encodes geometric relations between organs using volume contrastive learning on 160,000 CT volumes.","51 tasks: Segmentation, Classification, Registration, Vision-Language.",26
CT,Unimodal,CT-FM,2025-01,Efficient for whole-body segmentation and head CT triage. It enables doctors to cluster anatomical regions and identify structural similarities across scans without manual labels.,https://arxiv.org/abs/2501.09001,3D SegResNet,Encoder-only,"Pre-trained on 148,000 scans from Imaging Data Commons using label-agnostic contrastive learning.",Whole-body/tumor segmentation; Head CT triage; Image retrieval.,27
CT,Unimodal,MedImageInsight,2024-10,A Microsoft embedding model for holistic analysis. It routes scans to specialists and flags abnormalities for review through similarity search.,https://arxiv.org/abs/2410.06542,Two-tower Florence,Encoder-only,Pre-trained on 3.7 million image-text pairs using the UniCL objective for task-agnostic medical embeddings.,Image-text/image-image search; Zero-shot classification.,35
CT,Unimodal,VISTA3D,2024-11,Facilitates human-in-the-loop workflows. It provides automatic segmentation for 127 classes which can be refined in real-time by point clicks.,https://arxiv.org/abs/2406.05285,3D SegResNet,Encoder-Decoder,"Multi-instance training with supervoxel supervision on 11,454 scans to achieve high-accuracy interactive segmentation.",Automatic segmentation (127 classes); Interactive refinement; Zero-shot unseen classes.,50
CT,Unimodal,LVM-Med,2023-11,"Classification, segmentation, and object detection",https://arxiv.org/abs/2306.11925,ResNet-50 or ViT-B/16 backbones with a second-order graph matching SSL formulation,Encoder-only,A general-purpose medical vision foundation model pre-trained on 1.3 million multi-modal images using graph-based structural constraints.,"Multi-organ and heart structure segmentation, and abdominal organ analysis.",84
CT,Unimodal,STU-Net,2023-04,The largest medical segmentation model series. It serves as a high-performance baseline for scaling AI capabilities in 3D medical imaging.,https://arxiv.org/abs/2304.06716,Scalable 3D U-Net,Encoder-only,Empirical scaling of model depth and width (up to 1.4B parameters) using supervised pre-training on TotalSegmentator.,Direct inference (14 datasets); Fine-tuning (3 datasets); TotalSegmentator,131
"CT, ST",Multimodal,X-Pression,2025-03,A deep learning framework that reconstructs 3D gene expression signatures from volumetric micro-CT (X-ray) data using convolutional neural networks.,https://doi.org/10.1101/2025.03.21.644627,3D Convolutional Neural Network (CNN) backbone + Regressor head,Encoder-only,X-Pression uses hybrid CNN/Transformer architecture for predicting gene expression from tissue morphology images. (2024),"SARS-CoV-2 vaccine efficacy, viral replication dynamics, and lung pathology (e.g., inflammation-induced atelectasis) in mouse models.",3
ECG,Unimodal,ECG foundation model based on a modified Vision Transformer,2025-11,"ECG signals to predict cardiac information that is normally measured by imaging, including PET, SPECT, and cardiac magnetic resonance (CMR)",https://doi.org/10.1056/aioa2500164,ViT (Modified),Encoder-only,Modified ViT encoder treating ECG as image-like signals.,Radiology image classification; ECG classification,1
ECG,Unimodal,HuBERT-ECG,2025-07,Self-supervised ECG foundation model that adapts HuBERT-style masked prediction with cluster-based pseudo-labels to learn transferable representations from large-scale unlabeled ECG waveforms.,https://www.medrxiv.org/content/10.1101/2024.11.14.24317328,Convolutional ECG Feature Extractor + Transformer Encoder,Encoder-only,"HuBERT-ECG transfers the HuBERT paradigm from speech to ECG by predicting masked ECG segment cluster assignments using a Transformer encoder, enabling label-efficient learning of general-purpose ECG representations that can be fine-tuned across diverse downstream cardiac tasks.",ECG interpretation (multi-label classification); arrhythmia detection; rhythm and morphology classification,12
ECG,Unimodal,ECG-FM,2025-10,"A 2025 paper introducing an ""open-weight"" model that is specifically validated for predicting heart function (LVEF).",https://pubmed.ncbi.nlm.nih.gov/41113504/,Transformer (Foundation Model),Encoder-only,ECG-FM uses Transformer encoder architecture as a foundation model for ECG signals. Self-supervised pretraining on large-scale ECG databases. (2024),ECG classification; Arrhythmia detection; 12-lead analysis; Transfer learning,12
ECG,Unimodal,PCG-ECG model,2024-10,"Self-supervised masked autoencoder pretraining on raw ECG signals from digital stethoscopes, followed by fine-tuning for cardiovascular disease detection tasks.",https://www.nature.com/articles/s44325-024-00027-5,ViT-style Transformer (MAE),Encoder-Decoder,Foundation model trained on ECG time-series using masked autoencoding; learns general-purpose cardiac representations transferable to disease classification tasks such as atrial fibrillation and low ejection fraction detection.,"ECG-based disease classification (e.g., AF detection, low EF screening)",23
ECG,Unimodal,ECGFounder,2025-07,This is the most comprehensive paper (published 2025) using 10 million recordings to create a general-purpose heart foundation model.,https://pubmed.ncbi.nlm.nih.gov/40771651/,Transformer (Foundation Model),Non-Transformer,ECGFounder uses Transformer encoder architecture trained on 10M+ ECGs with masked signal prediction. Large-scale encoder foundation model. (2024),Multi-task ECG benchmarks; Arrhythmia; HF prediction; Cross-dataset evaluation,28
 Clinical Notes/EHR,Unimodal,Foundational EHR GPT,2025-10,"The model leverages longitudinal electronic health records to perform zero-shot forecasting of future medical events, predicting clinical outcomes without requiring task-specific fine-tuning",https://academic.oup.com/jamia/article/32/12/1833/8277596,Generative pre-trained transformer (GPT),Decoder-only,This study presents a pipeline that formulates medical concept prediction as a generative modeling task to evaluate the zero-shot capabilities of foundational GPT models on electronic health record data,Downstream task fine-tuning,4
 Clinical Notes/EHR,Unimodal,UniHPF,2024-09,"UniHPF is a universal healthcare predictive framework, which requires no medical domain knowledge and minimal preprocessing for multiple prediction tasks. Given any time-series EHR",https://arxiv.org/abs/2211.08082,Transformer (Unified),Encoder-only,UniHPF uses unified Transformer encoder model for healthcare prediction across multiple tasks. (2024),34 clinical tasks in anatomic pathology; ROI classification; Slide-level classification; Segmentation (SegPath); Retrieval,8
 Clinical Notes/EHR,Unimodal,MOTOR,2023-12,pretrained on timestamped sequences of events in electronic health records (EHR) and health insurance claims,https://doi.org/10.48550/arXiv.2301.03150,Transformer (Medical),Encoder-only,MOTOR uses Transformer encoder for medical outcomes prediction from EHR data. Foundation encoder for clinical trajectories. (2024),Task-specific fine-tuning,9
 Clinical Notes/EHR,Unimodal,EHRMamba,2024-05,"adapts the Mamba architecture, a Selective State Space Model (SSM), to EHR data.",https://doi.org/10.48550/arXiv.2405.14567,Mamba (State-Space Model),Non-Transformer,"EHRMamba uses Mamba state-space model architecture for EHR sequential data. Uses selective state space layers instead of attention. (Yang et al., 2024)",EHR sequential modeling; Diagnosis prediction; State-space model evaluation,23
 Clinical Notes/EHR,Unimodal,CLMBR-T-Base,2024-06,"CLMBR-T-base is a structured EHR foundation model that encodes a patient's longitudinal medical history to facilitate downstream clinical prediction tasks and risk stratification. [cite: 20, 21, 39]",https://www.nature.com/articles/s41746-024-01166-w,Decoder-only Transformer,Decoder-only,CLMBR-T-Base uses Transformer encoder for clinical language model benchmarking. BERT-style encoder on EHR data. (2022),Downstream task fine-tuning,47
 Clinical Notes/EHR,Unimodal,CEHR-BERT,2021-11,"incorporate temporal information using a hybrid approach by augmenting the input to BERT using artificial time tokens, incorporating time, age, and concept embeddings",https://doi.org/10.48550/arXiv.2111.08585,Transformer Encoder (BERT-style),Encoder-only,"CEHR-BERT uses BERT encoder architecture adapted for EHR concept sequences. Bidirectional Transformer encoder with masked language modeling on medical events. (Pang et al., 2021)",EHR prediction; Hospital readmission; Mortality prediction; Phenotyping,104
 Clinical Notes/EHR,Unimodal,BEHRT,2020-04,This model modifies the standard BERT architecture to accommodate the hierarchical nature of medical codes. It employs four distinct embedding layers:,https://www.nature.com/articles/s41598-020-62922-y,Transformer Encoder (BERT-style),Encoder-only,"BEHRT adapts BERT architecture for EHR data. Uses Transformer encoder with bidirectional attention for patient trajectory modeling from medical codes. (Li et al., Scientific Reports 2020)",Disease prediction; EHR trajectory modeling; MIMIC/UK Biobank evaluation,587
 Clinical Notes/EHR,Unimodal,Med-BERT,2021-05,Deep learning (DL)-based predictive models from electronic health records (EHRs) deliver impressive performance in many clinical tasks.,https://www.nature.com/articles/s41746-021-00455-y,Transformer Encoder (BERT-style),Encoder-only,"Med-BERT uses BERT-style Transformer encoder for structured EHR data. Pretrained with masked diagnosis prediction on large EHR datasets. (Rasmy et al., npj Digital Medicine 2021)",Downstream task fine-tuning,895
" Clinical Notes/EHR, CFP",Multimodal,Temporal Multi-modal (MM) Model,2025-06,The system harnesses both fundus images and electronic health records (EHR) for early and enhanced diabetic retinopathy detection by capturing the evolving dynamics of patient histories over time,10.1109/JBHI.2025.3578197,"The temporal multi-modal architecture combines an EfficientNetB5 model pre-trained on the DDR dataset for retinal image processing, and a TabTransformer with 4 attention layers for incorporating categorical and continuous EHR data, fused via multi-layer perceptrons",Encoder-only,A dual-model machine learning system comprising a temporal tabular model that relies solely on historical medical records and a deep learning multi-modal model that combines these records with fundus images,Image classification benchmark,2
" Clinical Notes/EHR, CFP",Multimodal,MLEDL,2025-7,"This study introduces MLEDL, a multimodal longitudinal deep learning system that integrates color fundus photographs and clinical Natural language to predict current and future visual fields, enabling efficient functional assessment of glaucoma progression without repeated VF testing.",10.1038/s41746-025-01750-8,The architecture uses ResNet-50 as the backbone to extract image features,Decoder-only,MLEDL is an ensemble of multiple deep learning models including CNNs and Transformers. Multi-model ensemble approach. (2024),Domain-specific evaluation,3
" Clinical Notes/EHR, CFP",Multimodal,DeepDR-LLM,2024-07,"This study develops DeepDR-LLM, an integrated image language system that combines a deep-learning DR screening model (DeepDR-Transformer) with a large language model to deliver PCP-facing diabetes management recommendations, improving referable DR detection, care adherence, and recommendation quality in real-world clinical deployment.",https://www.nature.com/articles/s41591-024-03139-8,Transformer + LLM,Encoder-Decoder,"DeepDR-LLM integrates clinical metadata (such as medical history and laboratory tests) with standard or portable fundus images to automatically generate personalized diabetes management plans and evaluate image quality, lesion segmentation, and diabetic retinopathy grades.",Perplexity evaluation; Generation quality assessment,173
" Clinical Notes/EHR, CT",Multimodal,HONeYBEE,2025-10,"HONeYBEE uses domain-specific foundation models to encode clinical Natural language and structured EHR, whole-slide pathology images, radiology scans, and molecular profiles, and fuses these multimodal embeddings into unified patient-level representations for downstream oncology tasks such as survival prediction, cancer classification, patient retrieval, and cohort clustering.",10.1038/s41746-025-02003-4,Hybrid (Multiple Encoders),Encoder-only,"HONeYBEE uses multiple domain-specific foundation models to encode clinical text (BioClinicalBERT), EHR (MOTOR), pathology (CONCH), radiology (BioViL), and molecular data. Fuses multimodal embeddings using separate encoders. (npj Digital Medicine 2025)",Radiology image classification,2
" Clinical Notes/EHR, CT",Multimodal,EXACT-Net,2024-12,"A multimodal vision language AI framework that leverages a pretrained large language model to extract EHR information and guide CT-based lung tumor auto-segmentation, reducing false positives and improving accuracy for radiotherapy planning in NSCLC.",10.3390/cancers16234097,A pre-trained Large Language Model (GPT 3.5 Turbo) for text extraction with a Retina-UNet3D framework for 3D object detection and segmentation,Decoder-only,"EXACT-Net integrates a zero-shot large language model for natural language processing of medical reports with a 3D convolutional neural network for image segmentation. By extracting the confirmed tumor location from the text, the framework guides the segmentation network to mask irrelevant structures and eliminate false positive nodules",Radiology image classification,6
" Clinical Notes/EHR, CT",Multimodal,MetaGP,2025-04,"The researchers developed MetaGP, a 32-billion-parameter generative foundation model , by pretraining it on a massive corpus of 8 million electronic health records (EHRs), 5.4 million academic articles, and over 15,000 medical books using 120 NVIDIA A100 GPUs. To address complex clinical needs, they fine-tuned the model with supervised instruction tuning on specific medical QA and EHR datasets while integrating Swin Transformer and ViT-3D vision encoders to enable the generation of multimodal medical reports for 2D chest X-rays and 3D CT scans.",10.1016/j.xcrm.2025.102056,Transformer (Meta-learning),Decoder-only,MetaGP uses 32B generative decoder model with Swin Transformer and ViT-3D vision encoders for multimodal medical AI. Primarily decoder-based. (2024),Radiology image classification,10
" Clinical Notes/EHR, CT",Multimodal,VLM + LLM,2025-07,"This study employs Vision-Language Models (VLMs) to automatically detect pulmonary embolism related abnormalities from CTPA images and integrates Large Language Models (LLMs) to generate structured radiology reports, which are further combined with imaging and clinical data in a multimodal fusion model for outcome (survival) prediction.",10.1038/s41746-025-01807-8,Vision-Language Model + LLM,Encoder-Decoder,"Generic Vision-Language Model + LLM architecture. Uses frozen vision encoder (CLIP/ViT) connected to LLM decoder for visual understanding. (Various, 2024)",Radiology image classification,12
" Clinical Notes/EHR, CT",Multimodal,MEHRT,2025-09,"This paper evaluates the MEHRT (Multimodal EHR Transformer) by pretraining it on longitudinal structured records, CT scans, and histopathology images, using a multi-stage curriculum strategy to adapt a structured-only backbone into a multimodal model. The authors utilize DINOv2 and GigaPath as modality-specific frozen encoders to tokenize images into visual embeddings, which are then integrated with medical code tokens in an autoregressive Llama-3.2 architecture.",https://neurips.cc/virtual/2025/loc/san-diego/132269,Llama-3.2 backbone,Decoder-only,MEHRT (Multimodal EHR Transformer) uses Llama-3.2 backbone with frozen DINOv2 and GigaPath image encoders. Combines LLM decoder with vision encoders for EHR+imaging. (NeurIPS 2025),Histopathology classification,
" Clinical Notes/EHR, ECG",Multimodal,TRIM,2025-11,An EHR-based foundation model that converts ECG signals and X-ray report features into a unified Natural language-based trajectory.,https://www.medrxiv.org/content/10.1101/2025.11.10.25339886v1,EHR Foundation Model (BERT-style encoder) + 1D ResNet ECG encoder,Encoder-only,A framework that integrates text-based representations of unstructured diagnostic reports directly into longitudinal EHR patient trajectories to preserve temporal and clinical context.,"Prediction of heart failure, ischemic heart disease, coronary artery disease, and stroke.",0
" Clinical Notes/EHR, ECG",Multimodal,TARGET-AI,2025-10,"A multimodal AI pipeline that combines a pretrained EHR foundation model with a contrastive ECG image echocardiogram vision-language model to enable targeted, risk-stratified AI-ECG screening for structural heart disease, reducing false positives while improving diagnostic performance.",10.1101/2025.08.25.25334266,Transformer/CNN,Hybrid,TARGET-AI uses hybrid Transformer/CNN architecture for targeted medical analysis. Combines convolutional and attention mechanisms. (2024),ECG classification,1
" Clinical Notes/EHR, ECG",Multimodal,attention-based CNN and ViT,2025-05,"This study presents a joint ECG EHR multimodal fusion framework that integrates ECG images and structured clinical records using an attention-enhanced multi-branch CNN, demonstrating superior performance over ViT and EHR-only baselines for predicting major adverse clinical outcomes after PCI without relying on laboratory or vital sign data.",10.1016/j.compbiomed.2025.109966,Hybrid CNN-ViT (Attention),Hybrid,Hybrid architecture combining CNN with Vision Transformer attention mechanisms. Uses both convolutional and self-attention layers. (Various),ECG classification,4
" Clinical Notes/EHR, DNA/RNA",Multimodal,All of Us (AoU) EHR-Genomics Foundation Model,2025-10,utilizes cross-attention mechanisms to fuse longitudinal patient trajectories with genetic susceptibility profiles.,https://doi.org/10.48550/arXiv.2510.23639,Transformer (Multimodal),Encoder-only,Transformer encoder for multimodal EHR-genomics integration in the All of Us research program.,Variant effect prediction,1
" Clinical Notes/EHR, H&E",Multimodal,MedGemma,2025-07,medical Natural language and image comprehension,https://doi.org/10.48550/arXiv.2507.05201,Transformer (Gemma-based),Decoder-only,"MedGemma is based on Google Gemma decoder-only architecture fine-tuned for medical tasks using instruction tuning. (Google, 2024)",Histopathology classification,0
" Clinical Notes/EHR, MRI",Multimodal,HONeYBEE,2025-10,"HONeYBEE uses domain-specific foundation models to encode clinical Natural language and structured EHR, whole-slide pathology images, radiology scans, and molecular profiles, and fuses these multimodal embeddings into unified patient-level representations for downstream oncology tasks such as survival prediction, cancer classification, patient retrieval, and cohort clustering.",10.1038/s41746-025-02003-4,Hybrid (Multiple Encoders),Hybrid,"HONeYBEE uses multiple domain-specific foundation models to encode clinical text (BioClinicalBERT), EHR (MOTOR), pathology (CONCH), radiology (BioViL), and molecular data. Fuses multimodal embeddings using separate encoders. (npj Digital Medicine 2025)",Radiology image classification,2
" Clinical Notes/EHR, OCT",Multimodal,Multimodal Deep Learning,2025-05,"This study proposes a self-supervised pretrained multimodal deep neural network that fuses retinal OCT and infrared reflectance imaging with structured clinical data to enable stroke detection and future risk prediction, outperforming unimodal imaging models and existing foundation-model baselines.",https://ieeexplore.ieee.org/document/11253814,Multimodal CNN/Transformer,Hybrid,Generic multimodal deep learning using hybrid CNN/Transformer architectures for medical data fusion. (Various),Radiology image classification,1
" Clinical Notes/EHR, OCT",Multimodal,hybrid neuro-symbolic + LLM,2025-09,"This study introduces a hybrid neuro-symbolic AI + large language model framework that integrates a domain-specific ophthalmic knowledge graph, multimodal retinal imaging pipelines, ontology-mapped clinical Natural language, and an LLM for evidence-grounded natural-language explanations to deliver accurate, causally interpretable AMD treatment-prognosis predictions.",10.3390/s25226879,Hybrid Neuro-symbolic + LLM,Hybrid,Hybrid architecture combining neuro-symbolic reasoning with LLM decoder. Integrates symbolic AI with neural language models. (Various),Radiology image classification,1
" Clinical Notes/EHR, OCT",Multimodal,TabNet+XGBoost,2025-3,"This study applies TabNet deep learning and XGBoost to build single-modality and multimodal fusion prediction models that integrate structured EHR data with RNFL OCT features to predict 12-month glaucoma surgery risk, demonstrating superior performance of the TabNet-based EHR+OCT fusion model",https://tvst.arvojournals.org/article.aspx?articleid=2802744,Hybrid TabNet + XGBoost,Hybrid,TabNet+XGBoost is a hybrid ensemble combining TabNet (attention-based) with XGBoost (gradient boosting). Non-standard Transformer hybrid. (Various),Radiology image classification,7
" Clinical Notes/EHR, PET",Multimodal,HONeYBEE,2025-10,"HONeYBEE uses domain-specific foundation models to encode clinical Natural language and structured EHR, whole-slide pathology images, radiology scans, and molecular profiles, and fuses these multimodal embeddings into unified patient-level representations for downstream oncology tasks such as survival prediction, cancer classification, patient retrieval, and cohort clustering.",https://www.nature.com/articles/s41746-025-02003-4,Hybrid (Multiple Encoders),Hybrid,"HONeYBEE uses multiple domain-specific foundation models to encode clinical text (BioClinicalBERT), EHR (MOTOR), pathology (CONCH), radiology (BioViL), and molecular data. Fuses multimodal embeddings using separate encoders. (npj Digital Medicine 2025)",Downstream task fine-tuning,2
" Clinical Notes/EHR, X-Ray",Multimodal,MOMA,2025-12,"Mixture-of-Multimodal-Agents (MoMA), designed to leverage multiple large language model (LLM) agents for clinical prediction tasks using multimodal EHR data.",https://www.nature.com/articles/s41746-025-02219-4,Transformer (Medical Omics),Encoder-only,MOMA uses Transformer encoder for medical omics analysis. Encoder architecture for multi-omics integration. (2024),Radiology image classification,3
DNA/RNA,Unimodal,DRfold2,2026-02,DRfold2 is a deep learning framework that performs end-to-end ab initio RNA 3D structure prediction directly from a single RNA sequence.,https://doi.org/10.1371/journal.pbio.3003659,"Integrates a pre-trained RNA Composite Language Model (RCLM) with 18 RNA Transformer blocks (Evoformer-based) trained via composite likelihood maximization on ~30M RNA sequences. The structure prediction pipeline uses 16 RNA Transformer blocks and a Denoising RNA Structure Module (DRSM) with Invariant Point Attention (IPA), followed by a CSOR (Clustering, Scoring, Optimization, and Refinement) post-processing protocol.",Encoder-only,"DRfold2 predicts RNA 3D structures from single sequences by combining a composite language model (RCLM) for co-evolutionary feature extraction, an RNA Transformer-based pipeline with a denoising module for end-to-end structure generation, and a post-processing CSOR protocol for model selection and refinement.","Evaluated on global RNA tertiary structure prediction (TM-score, RMSD), secondary structure prediction (INF indices, Deformation Index), and physical geometry (MCQ, clash score). Benchmarked on an independent dataset of 41 RNA structures and the CASP16 experiment. Also evaluated for unsupervised contact map precision (Top-N precision) and computational efficiency (running time analysis).",0
